date,site_id,rainfall_mm,temp_C,slope_angle,vibration,displacement,pore_pressure,label
2025-01-01,1,22.9,26.8,36.68,0.14,0.07,0.77,0
2025-01-02,1,38.43,22.62,40.1,0.1,0.04,1.27,0
2025-01-03,1,30.67,30.95,39.63,0.1,0.14,0.84,0
2025-01-04,1,52.57,28.64,40.53,0.15,0.02,0.89,1
2025-01-05,1,24.27,23.37,37.94,0.11,0.07,0.77,0
2025-01-06,1,96.05,29.91,37.53,0.17,0.16,1.36,1
2025-01-07,1,82.27,27.11,38.75,0.15,0.13,1.1,1
2025-01-08,1,52.59,30.04,39.61,0.2,0.06,1.23,1
2025-01-09,1,40.97,27.96,39.35,0.12,0.2,0.87,1
2025-01-10,1,45.22,27.73,38.7,0.16,0.18,0.96,0
2025-01-11,1,17.71,27.9,38.42,0.08,0.06,0.92,0
2025-01-12,1,4.83,26.73,40.09,0.05,0.07,0.71,0
2025-01-13,1,79.62,26.18,39.78,0.12,0.09,1.23,1
2025-01-14,1,104.28,30.38,39.6,0.73,0.25,1.67,1
2025-01-15,1,32.65,26.92,38.1,0.15,0.05,1.04,0
2025-01-16,1,73.0,25.3,39.22,0.17,0.01,1.02,1
2025-01-17,1,21.81,26.95,38.53,0.16,0.13,0.58,0
2025-01-18,1,59.63,30.76,39.02,0.14,0.24,1.38,1
2025-01-19,1,55.01,31.98,38.59,0.13,0.08,1.22,1
2025-01-20,1,53.23,28.72,38.89,0.2,0.11,1.13,1
2025-01-21,1,19.32,30.32,40.07,0.04,0.12,0.66,0
2025-01-22,1,39.24,29.21,38.17,0.1,0.06,1.0,0
2025-01-23,1,39.49,29.64,40.13,0.12,0.06,1.14,0
2025-01-24,1,51.11,24.77,38.08,0.1,0.06,0.57,1
2025-01-25,1,61.17,24.79,37.5,0.06,0.1,1.2,1
2025-01-26,1,54.5,22.85,38.2,0.14,0.21,0.72,1
2025-01-27,1,61.09,20.86,37.16,0.05,0.1,1.24,1
2025-01-28,1,31.73,25.46,39.5,0.19,0.19,0.97,0
2025-01-29,1,35.36,29.21,39.96,0.12,0.1,0.81,0
2025-01-30,1,33.61,24.79,39.2,0.05,0.05,0.52,0
2025-01-31,1,36.09,21.34,36.68,0.03,0.15,0.98,0
2025-02-01,1,14.83,27.7,38.85,0.12,0.15,0.93,0
2025-02-02,1,50.05,21.66,40.87,0.04,0.09,1.06,1
2025-02-03,1,10.55,21.24,39.36,0.11,0.02,0.82,0
2025-02-04,1,25.94,25.48,38.65,0.1,0.11,0.5,0
2025-02-05,1,35.96,26.32,39.13,0.04,0.08,0.89,0
2025-02-06,1,16.0,27.59,37.78,0.07,0.08,0.95,0
2025-02-07,1,46.34,24.24,38.74,0.05,0.1,1.08,0
2025-02-08,1,112.1,23.0,39.87,0.3,0.27,1.86,1
2025-02-09,1,45.68,19.8,38.19,0.16,0.13,1.14,0
2025-02-10,1,30.56,26.31,39.47,0.07,0.03,0.58,0
2025-02-11,1,63.12,30.84,39.84,0.14,0.1,1.3,1
2025-02-12,1,25.52,26.96,40.46,0.09,0.09,0.9,0
2025-02-13,1,34.09,27.88,38.57,0.06,0.09,1.05,0
2025-02-14,1,31.14,28.93,38.72,0.09,0.06,0.62,0
2025-02-15,1,59.24,27.95,36.87,0.07,0.19,0.8,1
2025-02-16,1,19.94,24.95,40.06,0.12,0.02,0.74,0
2025-02-17,1,15.85,22.17,39.55,0.19,0.07,0.68,0
2025-02-18,1,24.24,25.43,39.34,0.02,0.04,0.86,0
2025-02-19,1,39.73,30.75,38.84,0.11,0.19,1.08,0
2025-02-20,1,10.33,21.81,37.22,0.08,0.05,0.76,0
2025-02-21,1,39.51,26.52,39.79,0.0,0.18,1.16,0
2025-02-22,1,33.57,27.47,39.17,0.11,0.08,0.76,0
2025-02-23,1,62.47,25.17,41.56,0.04,0.08,1.13,1
2025-02-24,1,16.56,24.33,40.27,0.12,0.2,0.72,0
2025-02-25,1,20.67,23.13,39.19,0.11,0.04,0.71,0
2025-02-26,1,41.87,21.83,39.18,0.13,0.05,0.58,0
2025-02-27,1,62.17,19.73,40.55,0.17,0.07,0.98,1
2025-02-28,1,57.55,30.32,38.89,0.12,0.14,1.18,1
2025-03-01,1,64.79,30.93,38.65,0.1,0.16,1.05,1
2025-03-02,1,2.07,24.92,40.61,0.01,0.07,0.36,0
2025-03-03,1,62.26,26.83,38.23,0.13,0.08,1.08,1
2025-03-04,1,18.81,24.93,38.53,0.07,0.17,0.8,0
2025-03-05,1,17.73,28.73,38.87,-0.02,0.11,0.4,0
2025-03-06,1,26.12,31.28,39.97,0.1,0.02,1.14,0
2025-03-07,1,49.63,27.24,38.09,0.11,0.13,0.95,0
2025-03-08,1,90.07,28.3,38.88,0.08,0.13,1.2,1
2025-03-09,1,92.0,33.8,38.53,0.2,0.18,1.43,1
2025-03-10,1,56.26,26.48,40.04,0.06,0.07,0.83,1
2025-03-11,1,105.47,30.58,40.37,0.39,0.23,1.57,1
2025-03-12,1,31.53,28.59,37.92,0.15,0.1,0.94,0
2025-03-13,1,40.93,28.18,38.7,0.06,0.02,0.99,0
2025-03-14,1,86.21,26.49,39.07,0.13,0.18,1.7,1
2025-03-15,1,73.66,29.79,39.19,0.11,0.17,1.38,1
2025-03-16,1,38.72,28.26,36.27,0.05,0.06,0.75,0
2025-03-17,1,41.27,22.35,39.43,0.08,0.12,0.88,0
2025-03-18,1,33.86,29.21,40.55,0.17,0.08,0.7,0
2025-03-19,1,40.64,30.64,39.21,0.07,0.14,1.3,0
2025-03-20,1,22.16,30.33,38.81,0.13,0.06,0.78,0
